created_at,entry_id,soilmoisture,humidity,temperature
2021-04-28T18:27:20+05:30,154,196,85,31.2
2021-04-28T18:27:35+05:30,155,197,85,32.8
2021-04-28T18:27:51+05:30,156,196,75,32.7
2021-04-28T18:28:06+05:30,157,196,74,32.7
2021-04-28T18:28:21+05:30,158,197,74,32.7
2021-04-28T18:28:36+05:30,159,196,75,32.7
2021-04-28T18:28:52+05:30,160,196,74,32.7
2021-04-28T18:29:07+05:30,161,193,74,32.8
2021-04-28T18:29:22+05:30,162,196,75,32.8
2021-04-28T18:29:38+05:30,163,196,74,32.8
2021-04-28T18:29:53+05:30,164,197,76,33
2021-04-28T18:30:08+05:30,165,196,75,33.1
2021-04-28T18:30:24+05:30,166,196,76,33.3
2021-04-28T18:30:39+05:30,167,197,72,33.6
2021-04-28T18:30:54+05:30,168,196,71,33.5
2021-04-28T18:31:09+05:30,169,197,72,33.4
2021-04-28T18:31:25+05:30,170,196,72,33.3
2021-04-28T18:31:40+05:30,171,196,73,33.2
2021-04-28T18:31:56+05:30,172,196,73,33.1
2021-04-28T18:32:11+05:30,173,197,73,33
2021-04-28T18:32:26+05:30,174,197,74,33
2021-04-28T18:33:08+05:30,175,196,75,33
2021-04-28T18:33:24+05:30,176,196,75,32.7
2021-04-28T18:33:40+05:30,177,196,nan,nan
2021-04-28T18:33:56+05:30,178,197,nan,nan
2021-04-28T18:34:11+05:30,179,196,nan,nan
2021-04-28T18:34:27+05:30,180,197,nan,nan
2021-04-28T18:34:42+05:30,181,197,nan,nan
2021-04-28T18:34:58+05:30,182,196,nan,nan
2021-04-28T18:35:14+05:30,183,195,nan,nan
2021-04-28T18:35:29+05:30,184,196,nan,nan
2021-04-28T18:35:44+05:30,185,196,nan,nan
2021-04-28T18:36:00+05:30,186,196,nan,nan
2021-04-28T18:36:16+05:30,187,197,nan,nan
2021-04-28T18:36:50+05:30,188,197,nan,nan
2021-04-28T18:37:05+05:30,189,196,nan,nan
2021-04-28T18:37:21+05:30,190,196,nan,nan
2021-04-28T18:37:37+05:30,191,196,nan,nan
2021-04-28T18:37:52+05:30,192,196,nan,nan
2021-04-28T18:50:55+05:30,193,196,76,32.5
2021-04-28T18:51:10+05:30,194,196,77,33
2021-04-28T18:51:26+05:30,195,196,76,32.8
